entity_id	total_population	male	female
LG-92008	63913.0	30654.0	33259.0
LG-92009	47095.0	22490.0	24605.0
LG-92010	61096.0	29449.0	31647.0
LG-92011	81315.0	39367.0	41948.0
LG-92012	45869.0	22216.0	23653.0
LK	20359439.0	9856633.0	10502806.0
LK-1	5851130.0	2848649.0	3002481.0
LK-11	2324349.0	1140472.0	1183877.0
LK-1103	323257.0	162798.0	160459.0
LK-1103005	7829.0	4017.0	3812.0
LK-1103010	28003.0	14029.0	13974.0
LK-1103015	17757.0	8794.0	8963.0
LK-1103020	12970.0	6505.0	6465.0
LK-1103025	8809.0	4367.0	4442.0
LK-1103030	13625.0	6602.0	7023.0
LK-1103035	12423.0	6352.0	6071.0
LK-1103040	13802.0	6740.0	7062.0
LK-1103045	6385.0	3024.0	3361.0
LK-1103050	9409.0	4617.0	4792.0
LK-1103055	9339.0	5005.0	4334.0
LK-1103060	8110.0	3901.0	4209.0
LK-1103065	8516.0	4303.0	4213.0
LK-1103070	13436.0	6753.0	6683.0
LK-1103075	17588.0	8739.0	8849.0
LK-1103080	8904.0	4433.0	4471.0
LK-1103085	6821.0	3459.0	3362.0
LK-1103090	11524.0	5774.0	5750.0
LK-1103095	13683.0	6907.0	6776.0
LK-1103100	10053.0	4987.0	5066.0
LK-1103105	7517.0	3914.0	3603.0
LK-1103110	7746.0	4062.0	3684.0
LK-1103115	1924.0	1854.0	70.0
LK-1103120	1473.0	1065.0	408.0
LK-1103125	3789.0	1880.0	1909.0
LK-1103130	3795.0	1868.0	1927.0
LK-1103135	6883.0	3335.0	3548.0
LK-1103140	3915.0	2007.0	1908.0
LK-1103145	7221.0	3637.0	3584.0
LK-1103150	8467.0	4195.0	4272.0
LK-1103155	8968.0	4363.0	4605.0
LK-1103160	8526.0	4530.0	3996.0
LK-1103165	4591.0	2424.0	2167.0
LK-1103170	2617.0	1027.0	1590.0
LK-1103175	6839.0	3329.0	3510.0
LK-1106	191687.0	94125.0	97562.0
LK-1106005	7606.0	3783.0	3823.0
LK-1106010	6934.0	3501.0	3433.0
LK-1106015	2308.0	1144.0	1164.0
LK-1106020	5083.0	2509.0	2574.0
LK-1106025	2119.0	986.0	1133.0
LK-1106030	5900.0	3017.0	2883.0
LK-1106035	8432.0	4236.0	4196.0
LK-1106040	4671.0	2374.0	2297.0
LK-1106045	5761.0	2884.0	2877.0
LK-1106050	7611.0	3676.0	3935.0
LK-1106055	3703.0	1787.0	1916.0
LK-1106060	4649.0	2242.0	2407.0
LK-1106065	4040.0	1976.0	2064.0
LK-1106070	2767.0	1421.0	1346.0
LK-1106075	4439.0	2255.0	2184.0
LK-1106080	3283.0	1601.0	1682.0
LK-1106085	3535.0	1711.0	1824.0
LK-1106090	3349.0	1633.0	1716.0
LK-1106095	4103.0	2016.0	2087.0
LK-1106100	2244.0	1131.0	1113.0
LK-1106105	3603.0	1767.0	1836.0
LK-1106110	2342.0	1170.0	1172.0
LK-1106115	5867.0	2867.0	3000.0
LK-1106120	4078.0	1982.0	2096.0
LK-1106125	10149.0	4975.0	5174.0
LK-1106130	3221.0	1564.0	1657.0
LK-1106135	4715.0	2296.0	2419.0
LK-1106140	2946.0	1401.0	1545.0
LK-1106145	4935.0	2382.0	2553.0
LK-1106150	5096.0	2467.0	2629.0
LK-1106155	2643.0	1325.0	1318.0
LK-1106160	2083.0	973.0	1110.0
LK-1106165	6442.0	2908.0	3534.0
LK-1106170	2408.0	1148.0	1260.0
LK-1106175	3879.0	1902.0	1977.0
LK-1106180	3344.0	1649.0	1695.0
LK-1106185	4044.0	2080.0	1964.0
LK-1106190	1944.0	939.0	1005.0
LK-1106195	2567.0	1244.0	1323.0
LK-1106200	2580.0	1241.0	1339.0
LK-1106205	5213.0	2494.0	2719.0
LK-1106210	3173.0	1536.0	1637.0
LK-1106215	2533.0	1243.0	1290.0
LK-1106220	3761.0	1941.0	1820.0
LK-1106225	2181.0	1097.0	1084.0
LK-1106230	3403.0	1651.0	1752.0
LK-1109	252041.0	123572.0	128469.0
LK-1109005	4997.0	2405.0	2592.0
LK-1109010	4030.0	1930.0	2100.0
LK-1109015	4165.0	2064.0	2101.0
LK-1109020	4342.0	2261.0	2081.0
LK-1109025	4224.0	2103.0	2121.0
LK-1109030	4261.0	2041.0	2220.0
LK-1109035	3863.0	1898.0	1965.0
LK-1109040	5530.0	2748.0	2782.0
LK-1109045	4878.0	2456.0	2422.0
LK-1109050	2099.0	1043.0	1056.0
LK-1109055	6091.0	3090.0	3001.0
LK-1109060	5495.0	2684.0	2811.0
LK-1109065	3131.0	1554.0	1577.0
LK-1109070	7680.0	3882.0	3798.0
LK-1109075	4405.0	2284.0	2121.0
LK-1109080	9178.0	4443.0	4735.0
LK-1109085	2871.0	1320.0	1551.0
LK-1109090	1913.0	863.0	1050.0
LK-1109095	4842.0	2437.0	2405.0
LK-1109100	2105.0	1029.0	1076.0
LK-1109105	1876.0	942.0	934.0
LK-1109110	2623.0	1307.0	1316.0
LK-1109115	6922.0	3298.0	3624.0
LK-1109120	5133.0	2576.0	2557.0
LK-1109125	5958.0	2923.0	3035.0
LK-1109130	5141.0	2509.0	2632.0
LK-1109135	3777.0	1822.0	1955.0
LK-1109140	2793.0	1337.0	1456.0
LK-1109145	6734.0	3275.0	3459.0
LK-1109150	9250.0	4524.0	4726.0
LK-1109155	8518.0	4102.0	4416.0
